language,digits,bases,monomorphemics,curr_bases,number_addition_max,number_subtraction_max,phrase_subtraction,exceptions
artificial_language_g0_7,"[1, 2]",[3],[],"[[[3, 100], 3]]","[[[3, 100], 3]]",[],[],[]
artificial_language_g0_63,"[1, 2, 3, 4]",[5],[],"[[[5, 100], 5]]","[[[5, 100], 5]]",[],[],[]
artificial_language_g0_63_m3,"[1, 2, 3]",[4],[],"[[[4, 100], 4]]","[[[4, 100], 4]]",[],[],[]
artificial_language_g1_39_m3,"[1, 2, 3, 4, 5]",[6],[],"[[[6, 100], 6]]","[[[6, 100], 6]]",[],[],[]
artificial_language_g1_39_m3_m4,"[1, 2, 3, 4, 5, 6]",[7],[],"[[[7, 100], 7]]","[[[7, 100], 7]]",[],[],[]
artificial_language_g5_17,"[1, 2, 3, 4, 5, 6, 7, 8]",[9],[],"[[[9, 100], 9]]","[[[9, 100], 9]]",[],[],[]
artificial_language_g0_7_m6,[1],[2],[],"[[[2, 100], 2]]","[[[2, 100], 2]]",[],[],[]
artificial_language_g5_17_m9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",[10],[],"[[[10, 100], 10]]","[[[10, 100], 10]]",[],[],[]
artificial_language_g5_17_m10,"[1, 2, 3, 4, 5, 6, 7]",[8],[],"[[[8, 100], 8]]","[[[8, 100], 8]]",[],[],[]
artificial_language_g7_6_m8_m20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[13, 26, 40]",[],"[[[13, 26], 13], [[26, 40], 26], [[40, 100], 40]]","[[[13, 26], 6], [[26, 40], 26], [[40, 100], 40]]","[[[13, 26], 8]]",[],[]
artificial_language_g5_17_m9_m29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[11],[],"[[[11, 100], 11]]","[[[11, 100], 11]]",[],[],[]
artificial_language_g10_34_m24_m29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[21, 42, 65]",[],"[[[21, 42], 21], [[42, 65], 42], [[65, 100], 65]]","[[[21, 42], 4], [[42, 65], 42], [[65, 100], 65]]","[[[21, 42], 18]]",[],[]
artificial_language_g7_6_m9_m27_m29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 30, 43]",[],"[[[15, 30], 15], [[30, 43], 30], [[43, 100], 43]]","[[[15, 30], 7], [[30, 43], 30], [[43, 100], 43]]","[[[15, 30], 9]]",[],[]
artificial_language_g7_6_m9_m27_m29_m34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[14, 28, 43]",[],"[[[14, 28], 14], [[28, 43], 28], [[43, 100], 43]]","[[[14, 28], 7], [[28, 43], 28], [[43, 100], 43]]","[[[14, 28], 8]]",[],[]
artificial_language_g10_34_m24_m25_m36,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[19, 38, 58]",[],"[[[19, 38], 19], [[38, 58], 38], [[58, 100], 58]]","[[[19, 38], 3], [[38, 58], 38], [[58, 100], 58]]","[[[19, 38], 17]]",[],[]
artificial_language_g10_34_m24_m25_m35_m40_m41_m45,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[16, 32, 50]",[],"[[[16, 32], 16], [[32, 50], 32], [[50, 100], 50]]","[[[16, 32], 3], [[32, 50], 32], [[50, 100], 50]]","[[[16, 32], 14]]",[],[]
artificial_language_g10_34_m24_m29_m52,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[21, 42, 65]",[22],"[[[21, 42], 21], [[42, 65], 42], [[65, 100], 65]]","[[[21, 42], 4], [[42, 65], 42], [[65, 100], 65]]","[[[21, 42], 18]]",[],[]
artificial_language_g10_34_m24_m25_m35_m40_m41_m53,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[17, 34, 53]",[],"[[[17, 34], 17], [[34, 53], 34], [[53, 100], 53]]","[[[17, 34], 3], [[34, 53], 34], [[53, 100], 53]]","[[[17, 34], 15]]",[],[]
artificial_language_g5_17_m9_m29_m57,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[11],[22],"[[[11, 100], 11]]","[[[11, 100], 11]]",[],[],[]
artificial_language_g7_6_m8_m20_m59,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 24, 40]",[],"[[[12, 24], 12], [[24, 40], 24], [[40, 100], 40]]","[[[12, 24], 6], [[24, 40], 24], [[40, 100], 40]]","[[[12, 24], 7]]",[],[]
artificial_language_g0_13_m1_m2_m6_m21_m42_m57_m59_m65,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[21, 25, 42, 56, 76]","[22, 29]","[[[21, 25], 21], [[25, 42], 25], [[42, 56], 42], [[56, 76], 56], [[76, 100], 76]]","[[[21, 25], 16], [[25, 42], 25], [[42, 56], 42], [[56, 76], 56], [[76, 100], 76]]","[[[21, 42], 6]]",[],[]
artificial_language_g0_13_m1_m2_m6_m9_m18_m33_m40_m67,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[21, 42, 69]","[22, 24]","[[[21, 42], 21], [[42, 69], 42], [[69, 100], 69]]","[[[21, 42], 16], [[42, 69], 42], [[69, 100], 69]]","[[[21, 42], 6]]",[],[]
