language,digits,bases,monomorphemics,curr_bases,number_addition_max,number_subtraction_max,phrase_subtraction,exceptions
artificial_language_g0_0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[17, 54, 92]",[],"[[[17, 54], 17], [[54, 92], 54], [[92, 100], 92]]","[[[17, 54], 17], [[54, 92], 54], [[92, 100], 92]]",[],[],[]
artificial_language_g0_1,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[10, 64, 68, 72, 81]","[23, 48, 75, 86]","[[[10, 64], 10], [[64, 68], 64], [[68, 72], 68], [[72, 81], 72], [[81, 100], 81]]","[[[10, 64], 10], [[64, 68], 64], [[68, 72], 68], [[72, 81], 72], [[81, 100], 81]]",[],[],[]
artificial_language_g0_2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[20, 36, 61, 66]","[60, 81]","[[[20, 36], 20], [[36, 61], 36], [[61, 66], 61], [[66, 100], 66]]","[[[20, 36], 20], [[36, 61], 36], [[61, 66], 61], [[66, 100], 66]]",[],[],[]
artificial_language_g0_3,"[1, 2, 3, 4, 5, 6, 7, 8]","[9, 18, 35, 53]",[],"[[[9, 18], 9], [[18, 35], 18], [[35, 53], 35], [[53, 100], 53]]","[[[9, 18], 3], [[18, 35], 18], [[35, 53], 35], [[53, 100], 53]]","[[[9, 18], 7]]",[],[]
artificial_language_g0_4,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 19, 43, 59]","[22, 52, 74, 75]","[[[12, 19], 12], [[19, 43], 19], [[43, 59], 43], [[59, 100], 59]]","[[[12, 19], 12], [[19, 43], 19], [[43, 59], 43], [[59, 100], 59]]",[],[],"[[12, [12, 19], '(1 * 12)'], [19, [19, 43], '(1 * 19)'], [43, [43, 59], '(1 * 43)'], [59, [59, 60], '(1 * 59)']]"
artificial_language_g0_5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[16, 32, 85]",[90],"[[[16, 32], 16], [[32, 85], 32], [[85, 100], 85]]","[[[16, 32], 9], [[32, 85], 32], [[85, 100], 85]]","[[[16, 32], 8]]",[],[]
artificial_language_g0_6,"[1, 2, 3, 4, 5, 6, 7]","[8, 16, 26]","[73, 82]","[[[8, 16], 8], [[16, 26], 16], [[26, 100], 26]]","[[[8, 16], 7], [[16, 26], 16], [[26, 100], 26]]","[[[8, 16], 2]]",[],[]
artificial_language_g0_7,"[1, 2]",[3],[],"[[[3, 100], 3]]","[[[3, 100], 3]]",[],[],[]
artificial_language_g0_8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[12],"[29, 34, 76]","[[[12, 100], 12]]","[[[12, 100], 12]]",[],[],[]
artificial_language_g0_9,"[1, 2, 3, 4, 5]","[6, 12, 62]",[40],"[[[6, 12], 6], [[12, 62], 12], [[62, 100], 62]]","[[[6, 12], 5], [[12, 62], 12], [[62, 100], 62]]","[[[6, 12], 2]]",[],[]
artificial_language_g0_10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[10, 79, 81, 91]","[25, 30, 54, 69]","[[[10, 79], 10], [[79, 81], 79], [[81, 91], 81], [[91, 100], 91]]","[[[10, 79], 10], [[79, 81], 79], [[81, 91], 81], [[91, 100], 91]]",[],[],[]
artificial_language_g0_11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[21, 59]",[76],"[[[21, 59], 21], [[59, 100], 59]]","[[[21, 59], 21], [[59, 100], 59]]",[],[],"[[21, [21, 59], '(1 * 21)'], [59, [59, 60], '(1 * 59)']]"
artificial_language_g0_12,"[1, 2]","[3, 75, 98]","[42, 50, 56, 59, 83]","[[[3, 75], 3], [[75, 98], 75], [[98, 100], 98]]","[[[3, 75], 3], [[75, 98], 75], [[98, 100], 98]]",[],[],[]
artificial_language_g0_13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[20, 40, 65, 71, 96]","[22, 64]","[[[20, 40], 20], [[40, 65], 40], [[65, 71], 65], [[71, 96], 71], [[96, 100], 96]]","[[[20, 40], 15], [[40, 65], 40], [[65, 71], 65], [[71, 96], 71], [[96, 100], 96]]","[[[20, 40], 6]]",[],[]
artificial_language_g0_14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[21, 71, 94]",[],"[[[21, 71], 21], [[71, 94], 71], [[94, 100], 94]]","[[[21, 71], 21], [[71, 94], 71], [[94, 100], 94]]",[],[],"[[21, [21, 71], '(1 * 21)'], [71, [71, 94], '(1 * 71)'], [94, [94, 95], '(1 * 94)']]"
