language,type,lexicon,grammar,lexicon_grammar,avg_ms_complexity
mandarin,base-10,10,0,10,1.147948301362413
abun,base-10,10,1,11,1.2138802158431754
tagalog,base-10,10,1,11,1.160181585938607
hindi,base-10,10,3,13,1.1513370228516635
greek,base-10 w/ monomorphemics,11,0,11,1.1266920365285642
garo,base-10 w/ monomorphemics,11,6,17,1.147948301362413
yakut,base-10 w/ monomorphemics,12,0,12,1.1161959315568555
english,base-10 w/ monomorphemics,12,0,12,1.129342812308858
russian,base-10 w/ monomorphemics,11,0,11,1.1416924802438424
turkish,base-10 w/ monomorphemics,14,0,14,1.1057869028512777
cahuilla,base-10 w/o some digits,6,0,6,1.2822441661168458
kunama,base-10 w/o some digits,6,1,7,1.2822441661168458
kayahli,base-10 w/o some digits,6,4,10,1.3416467617090115
quileute,base-10 w/o some digits,6,1,7,1.2822441661168458
tarahumara,base-10 w/o some digits,8,4,12,1.2003281812245292
kannada,base-10 w/o some digits,9,3,12,1.171665583112185
khanty,base-10 w/o some digits,10,3,13,1.1449024038882527
georgian,base-20,11,0,11,1.1344328896245228
ingush,base-20,11,2,13,1.1344328896245228
abkhaz,base-20,10,0,10,1.1848592914836502
huave,base-20,11,1,12,1.1661852594300812
lezgian,base-20,12,0,12,1.1240238609189452
yucatec,base-20,12,2,14,1.1684239563599383
mixtecA,base-20,12,0,12,1.1272398032057676
mixtecC,base-20,12,1,13,1.130197916777627
french,base-20,11,4,15,1.1302796820375158
albanian,base-20,11,4,15,1.147948301362413
otomi,base-20 w/o some digits,7,1,8,1.2922161208365246
gola,base-20 w/o some digits,7,1,8,1.2635220721750142
arawak,base-20 w/o some digits,6,2,8,1.393565761884173
kana,base-20 w/o some digits,8,0,8,1.2171911935529025
nahuatl,base-20 w/o some digits,8,1,9,1.2625461565262213
diola,base-20 w/o some digits,8,0,8,1.2307937867206626
supyire,base-20 w/o some digits,8,0,8,1.2573708294515893
drehu,base-20 w/o some digits,8,4,12,1.3313988670727828
mangab-mbula,base-20 w/o some digits,6,4,10,1.509415539678581
haida,other bases,10,4,14,1.150409318278336
kilivila,other bases,6,1,7,1.356441083945599
tommoso,other bases,11,0,11,1.1462290570952343
khalaj,other bases,14,2,16,1.1057869028512777
artificial_language_g0_7,artificial,3,0,3,1.6170999788234846
artificial_language_g0_63,artificial,5,0,5,1.3351199405674379
artificial_language_g0_63_m3,artificial,4,0,4,1.4341301685559908
artificial_language_g1_39_m3,artificial,6,0,6,1.2703712509947587
artificial_language_g1_39_m3_m4,artificial,7,0,7,1.2242230128235094
artificial_language_g5_17,artificial,9,0,9,1.1668949620775686
artificial_language_g0_7_m6,artificial,2,0,2,2.0785225869763164
artificial_language_g5_17_m9,artificial,10,0,10,1.147948301362413
artificial_language_g5_17_m10,artificial,8,0,8,1.192078867659985
artificial_language_g7_6_m8_m20,artificial,15,2,17,1.086594271541131
artificial_language_g5_17_m9_m29,artificial,11,0,11,1.1331518384047088
artificial_language_g10_34_m24_m29,artificial,23,2,25,1.0457574285358826
artificial_language_g7_6_m9_m27_m29,artificial,17,2,19,1.072803024456161
artificial_language_g7_6_m9_m27_m29_m34,artificial,16,2,18,1.0783894635182707
artificial_language_g10_34_m24_m25_m36,artificial,21,2,23,1.052572838370948
artificial_language_g10_34_m24_m25_m35_m40_m41_m45,artificial,18,2,20,1.0666931159348327
artificial_language_g10_34_m24_m29_m52,artificial,24,2,26,1.0427696027014923
artificial_language_g10_34_m24_m25_m35_m40_m41_m53,artificial,19,2,21,1.0614451044182507
artificial_language_g5_17_m9_m29_m57,artificial,12,0,12,1.113900997146836
artificial_language_g7_6_m8_m20_m59,artificial,14,2,16,1.097226325849565
artificial_language_g0_13_m1_m2_m6_m21_m42_m57_m59_m65,artificial,27,2,29,1.0374840506580143
artificial_language_g0_13_m1_m2_m6_m9_m18_m33_m40_m67,artificial,25,2,27,1.04075237949505
artificial_language_g0_13_m1_m2_m6_m21_m25_m42_m44_m50_m51_m60_m69,artificial,28,2,30,1.0367810285462349
artificial_language_g5_17_m9_m29_m57_m84,artificial,13,0,13,1.1077609715730408
artificial_language_g10_34_m24_m25_m35_m40_m41_m53_m59_m91,artificial,20,2,22,1.0568792196611283
artificial_language_g0_13_m1_m2_m6_m21_m25_m42_m44_m50_m51_m60_m69_m94,artificial,29,2,31,1.0343300501622215
artificial_language_g0_13_m1_m2_m6_m21_m25_m42_m44_m50_m51_m52_m72_m77_m88_m94,artificial,30,2,32,1.0355814847667582
artificial_language_g10_34_m24_m25_m36_m97,artificial,22,2,24,1.049313444173379
artificial_language_g0_13_m1_m2_m6_m21_m42_m57_m59_m65_m98,artificial,26,2,28,1.0389386623793218
artificial_language_g0_0,artificial,19,0,19,1.0733402993782803
artificial_language_g0_1,artificial,18,0,18,1.1355895703418863
artificial_language_g0_2,artificial,25,0,25,1.0482276063271712
artificial_language_g0_3,artificial,12,2,14,1.132705927168235
artificial_language_g0_4,artificial,19,4,23,1.188047690260066
artificial_language_g0_5,artificial,19,2,21,1.071474754319929
artificial_language_g0_6,artificial,12,2,14,1.1541488462401701
artificial_language_g0_7,artificial,3,0,3,1.6170999788234846
artificial_language_g0_8,artificial,15,0,15,1.1153436410256965
artificial_language_g0_9,artificial,9,2,11,1.2266700889385656
artificial_language_g0_10,artificial,17,0,17,1.1287076445052722
artificial_language_g0_11,artificial,23,2,25,1.096809281250226
artificial_language_g0_12,artificial,10,0,10,1.5926122921935713
artificial_language_g0_13,artificial,26,2,28,1.0441678519366175
artificial_language_g0_14,artificial,23,3,26,1.1023361988904326
artificial_language_g0_15,artificial,14,0,14,1.208721639729379
artificial_language_g0_16,artificial,12,7,19,1.5166320318482158
artificial_language_g0_17,artificial,19,2,21,1.0735667660979091
