language,number,constructions
artificial_language_g0_7,1,1
artificial_language_g0_7,2,2
artificial_language_g0_7,3,3
artificial_language_g0_7,4,(3 + 1)
artificial_language_g0_7,5,(3 + 2)
artificial_language_g0_7,6,(2 * 3)
artificial_language_g0_7,7,((2 * 3) + 1)
artificial_language_g0_7,8,((2 * 3) + 2)
artificial_language_g0_7,9,(3 * 3)
artificial_language_g0_7,10,((3 * 3) + 1)
artificial_language_g0_7,11,((3 * 3) + 2)
artificial_language_g0_7,12,((3 + 1) * 3)
artificial_language_g0_7,13,(((3 + 1) * 3) + 1)
artificial_language_g0_7,14,(((3 + 1) * 3) + 2)
artificial_language_g0_7,15,((3 + 2) * 3)
artificial_language_g0_7,16,(((3 + 2) * 3) + 1)
artificial_language_g0_7,17,(((3 + 2) * 3) + 2)
artificial_language_g0_7,18,((2 * 3) * 3)
artificial_language_g0_7,19,(((2 * 3) * 3) + 1)
artificial_language_g0_7,20,(((2 * 3) * 3) + 2)
artificial_language_g0_7,21,(((2 * 3) + 1) * 3)
artificial_language_g0_7,22,((((2 * 3) + 1) * 3) + 1)
artificial_language_g0_7,23,((((2 * 3) + 1) * 3) + 2)
artificial_language_g0_7,24,(((2 * 3) + 2) * 3)
artificial_language_g0_7,25,((((2 * 3) + 2) * 3) + 1)
artificial_language_g0_7,26,((((2 * 3) + 2) * 3) + 2)
artificial_language_g0_7,27,((3 * 3) * 3)
artificial_language_g0_7,28,(((3 * 3) * 3) + 1)
artificial_language_g0_7,29,(((3 * 3) * 3) + 2)
artificial_language_g0_7,30,(((3 * 3) + 1) * 3)
artificial_language_g0_7,31,((((3 * 3) + 1) * 3) + 1)
artificial_language_g0_7,32,((((3 * 3) + 1) * 3) + 2)
artificial_language_g0_7,33,(((3 * 3) + 2) * 3)
artificial_language_g0_7,34,((((3 * 3) + 2) * 3) + 1)
artificial_language_g0_7,35,((((3 * 3) + 2) * 3) + 2)
artificial_language_g0_7,36,(((3 + 1) * 3) * 3)
artificial_language_g0_7,37,((((3 + 1) * 3) * 3) + 1)
artificial_language_g0_7,38,((((3 + 1) * 3) * 3) + 2)
artificial_language_g0_7,39,((((3 + 1) * 3) + 1) * 3)
artificial_language_g0_7,40,(((((3 + 1) * 3) + 1) * 3) + 1)
artificial_language_g0_7,41,(((((3 + 1) * 3) + 1) * 3) + 2)
artificial_language_g0_7,42,((((3 + 1) * 3) + 2) * 3)
artificial_language_g0_7,43,(((((3 + 1) * 3) + 2) * 3) + 1)
artificial_language_g0_7,44,(((((3 + 1) * 3) + 2) * 3) + 2)
artificial_language_g0_7,45,(((3 + 2) * 3) * 3)
artificial_language_g0_7,46,((((3 + 2) * 3) * 3) + 1)
artificial_language_g0_7,47,((((3 + 2) * 3) * 3) + 2)
artificial_language_g0_7,48,((((3 + 2) * 3) + 1) * 3)
artificial_language_g0_7,49,(((((3 + 2) * 3) + 1) * 3) + 1)
artificial_language_g0_7,50,(((((3 + 2) * 3) + 1) * 3) + 2)
artificial_language_g0_7,51,((((3 + 2) * 3) + 2) * 3)
artificial_language_g0_7,52,(((((3 + 2) * 3) + 2) * 3) + 1)
artificial_language_g0_7,53,(((((3 + 2) * 3) + 2) * 3) + 2)
artificial_language_g0_7,54,(((2 * 3) * 3) * 3)
artificial_language_g0_7,55,((((2 * 3) * 3) * 3) + 1)
artificial_language_g0_7,56,((((2 * 3) * 3) * 3) + 2)
artificial_language_g0_7,57,((((2 * 3) * 3) + 1) * 3)
artificial_language_g0_7,58,(((((2 * 3) * 3) + 1) * 3) + 1)
artificial_language_g0_7,59,(((((2 * 3) * 3) + 1) * 3) + 2)
artificial_language_g0_7,60,((((2 * 3) * 3) + 2) * 3)
artificial_language_g0_7,61,(((((2 * 3) * 3) + 2) * 3) + 1)
artificial_language_g0_7,62,(((((2 * 3) * 3) + 2) * 3) + 2)
artificial_language_g0_7,63,((((2 * 3) + 1) * 3) * 3)
artificial_language_g0_7,64,(((((2 * 3) + 1) * 3) * 3) + 1)
artificial_language_g0_7,65,(((((2 * 3) + 1) * 3) * 3) + 2)
artificial_language_g0_7,66,(((((2 * 3) + 1) * 3) + 1) * 3)
artificial_language_g0_7,67,((((((2 * 3) + 1) * 3) + 1) * 3) + 1)
artificial_language_g0_7,68,((((((2 * 3) + 1) * 3) + 1) * 3) + 2)
artificial_language_g0_7,69,(((((2 * 3) + 1) * 3) + 2) * 3)
artificial_language_g0_7,70,((((((2 * 3) + 1) * 3) + 2) * 3) + 1)
artificial_language_g0_7,71,((((((2 * 3) + 1) * 3) + 2) * 3) + 2)
artificial_language_g0_7,72,((((2 * 3) + 2) * 3) * 3)
artificial_language_g0_7,73,(((((2 * 3) + 2) * 3) * 3) + 1)
artificial_language_g0_7,74,(((((2 * 3) + 2) * 3) * 3) + 2)
artificial_language_g0_7,75,(((((2 * 3) + 2) * 3) + 1) * 3)
artificial_language_g0_7,76,((((((2 * 3) + 2) * 3) + 1) * 3) + 1)
artificial_language_g0_7,77,((((((2 * 3) + 2) * 3) + 1) * 3) + 2)
artificial_language_g0_7,78,(((((2 * 3) + 2) * 3) + 2) * 3)
artificial_language_g0_7,79,((((((2 * 3) + 2) * 3) + 2) * 3) + 1)
artificial_language_g0_7,80,((((((2 * 3) + 2) * 3) + 2) * 3) + 2)
artificial_language_g0_7,81,(((3 * 3) * 3) * 3)
artificial_language_g0_7,82,((((3 * 3) * 3) * 3) + 1)
artificial_language_g0_7,83,((((3 * 3) * 3) * 3) + 2)
artificial_language_g0_7,84,((((3 * 3) * 3) + 1) * 3)
artificial_language_g0_7,85,(((((3 * 3) * 3) + 1) * 3) + 1)
artificial_language_g0_7,86,(((((3 * 3) * 3) + 1) * 3) + 2)
artificial_language_g0_7,87,((((3 * 3) * 3) + 2) * 3)
artificial_language_g0_7,88,(((((3 * 3) * 3) + 2) * 3) + 1)
artificial_language_g0_7,89,(((((3 * 3) * 3) + 2) * 3) + 2)
artificial_language_g0_7,90,((((3 * 3) + 1) * 3) * 3)
artificial_language_g0_7,91,(((((3 * 3) + 1) * 3) * 3) + 1)
artificial_language_g0_7,92,(((((3 * 3) + 1) * 3) * 3) + 2)
artificial_language_g0_7,93,(((((3 * 3) + 1) * 3) + 1) * 3)
artificial_language_g0_7,94,((((((3 * 3) + 1) * 3) + 1) * 3) + 1)
artificial_language_g0_7,95,((((((3 * 3) + 1) * 3) + 1) * 3) + 2)
artificial_language_g0_7,96,(((((3 * 3) + 1) * 3) + 2) * 3)
artificial_language_g0_7,97,((((((3 * 3) + 1) * 3) + 2) * 3) + 1)
artificial_language_g0_7,98,((((((3 * 3) + 1) * 3) + 2) * 3) + 2)
artificial_language_g0_7,99,((((3 * 3) + 2) * 3) * 3)
artificial_language_g0_63,1,1
