language,digits,bases,monomorphemics,curr_bases,number_addition_max,number_subtraction_max,phrase_subtraction,exceptions
artificial_language_g2_40_m3,[1],[2],[],"[[[2, 100], 2]]","[[[2, 100], 2]]",[],[],[]
artificial_language_g0_276_m2_m3_m7_m14_m15_m18_m20_m35,[1],"[2, 96]",[99],"[[[2, 96], 2], [[96, 100], 96]]","[[[2, 96], 2], [[96, 100], 96]]",[],[],[]
artificial_language_g0_276_m2_m3_m7_m14_m15_m18_m20_m35_m40,[1],"[2, 9, 96]",[99],"[[[2, 9], 2], [[9, 96], 9], [[96, 100], 96]]","[[[2, 9], 2], [[9, 96], 9], [[96, 100], 96]]",[],[],[]
artificial_language_g42_9,[1],"[2, 95]",[],"[[[2, 95], 2], [[95, 100], 95]]","[[[2, 95], 2], [[95, 100], 95]]",[],[],[]
artificial_language_g0_276_m2_m3_m7_m14_m15_m18_m20_m35_m40_m49,[1],"[2, 9, 96]","[90, 99]","[[[2, 9], 2], [[9, 96], 9], [[96, 100], 96]]","[[[2, 9], 2], [[9, 96], 9], [[96, 100], 96]]",[],[],[]
artificial_language_g0_276_m2_m3_m7_m14_m15_m18_m19_m26_m30_m52,"[1, 2]","[3, 86, 91, 97, 98]",[99],"[[[3, 86], 3], [[86, 91], 86], [[91, 97], 91], [[97, 98], 97], [[98, 100], 98]]","[[[3, 86], 3], [[86, 91], 86], [[91, 97], 91], [[97, 98], 97], [[98, 100], 98]]",[],[],[]
artificial_language_g0_276_m2_m3_m7_m14_m15_m18_m19_m26_m30_m52_m53,"[1, 2]","[3, 91, 97, 98]",[99],"[[[3, 91], 3], [[91, 97], 91], [[97, 98], 97], [[98, 100], 98]]","[[[3, 91], 3], [[91, 97], 91], [[97, 98], 97], [[98, 100], 98]]",[],[],[]
artificial_language_g0_65_m6_m8_m12_m14_m19_m24_m27_m28_m35_m37_m39_m41_m43_m48_m52_m54_m55_m60_m62,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[20, 72, 86, 95, 98]","[88, 90, 94, 96, 99]","[[[20, 72], 20], [[72, 86], 72], [[86, 95], 86], [[95, 98], 95], [[98, 100], 98]]","[[[20, 72], 20], [[72, 86], 72], [[86, 95], 86], [[95, 98], 95], [[98, 100], 98]]",[],[],[]
artificial_language_g0_65_m6_m8_m12_m14_m19_m24_m27_m28_m35_m37_m39_m41_m43_m48_m52_m54_m55_m60_m62_m63,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[19, 72, 86, 95, 98]","[88, 90, 94, 96, 99]","[[[19, 72], 19], [[72, 86], 72], [[86, 95], 86], [[95, 98], 95], [[98, 100], 98]]","[[[19, 72], 19], [[72, 86], 72], [[86, 95], 86], [[95, 98], 95], [[98, 100], 98]]",[],[],[]
artificial_language_g0_65_m6_m8_m12_m14_m19_m24_m27_m28_m35_m37_m39_m41_m43_m48_m52_m54_m55_m60_m62_m63_m64,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 72, 86, 95, 98]","[88, 90, 94, 96, 99]","[[[18, 72], 18], [[72, 86], 72], [[86, 95], 86], [[95, 98], 95], [[98, 100], 98]]","[[[18, 72], 18], [[72, 86], 72], [[86, 95], 86], [[95, 98], 95], [[98, 100], 98]]",[],[],[]
