language,digits,bases,monomorphemics,curr_bases,number_addition_max,number_subtraction_max,phrase_subtraction,exceptions
artificial_language_g0_0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 18, 44, 79, 96]","[49, 81]","[[[12, 18], 12], [[18, 44], 18], [[44, 79], 44], [[79, 96], 79], [[96, 100], 96]]","[[[12, 18], 12], [[18, 44], 18], [[44, 79], 44], [[79, 96], 79], [[96, 100], 96]]",[],[],[]
artificial_language_g0_1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[16, 46, 51, 73]","[23, 55, 61, 64]","[[[16, 46], 16], [[46, 51], 46], [[51, 73], 51], [[73, 100], 73]]","[[[16, 46], 16], [[46, 51], 46], [[51, 73], 51], [[73, 100], 73]]",[],[],[]
artificial_language_g0_2,[1],"[2, 32, 79, 91]","[26, 49, 77, 98]","[[[2, 32], 2], [[32, 79], 32], [[79, 91], 79], [[91, 100], 91]]","[[[2, 32], 2], [[32, 79], 32], [[79, 91], 79], [[91, 100], 91]]",[],[],[]
artificial_language_g0_3,"[1, 2, 3, 4, 5, 6]","[7, 53]","[10, 25, 27, 88]","[[[7, 53], 7], [[53, 100], 53]]","[[[7, 53], 7], [[53, 100], 53]]",[],[],[]
artificial_language_g0_4,"[1, 2, 3, 4]","[5, 10, 29, 68, 85]","[15, 27, 67, 73, 89]","[[[5, 10], 5], [[10, 29], 10], [[29, 68], 29], [[68, 85], 68], [[85, 100], 85]]","[[[5, 10], 1], [[10, 29], 10], [[29, 68], 29], [[68, 85], 68], [[85, 100], 85]]","[[[5, 10], 5]]",[],[]
artificial_language_g0_5,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 31, 67, 71, 95]","[75, 76, 84, 89]","[[[18, 31], 18], [[31, 67], 31], [[67, 71], 67], [[71, 95], 71], [[95, 100], 95]]","[[[18, 31], 18], [[31, 67], 31], [[67, 71], 67], [[71, 95], 71], [[95, 100], 95]]",[],[],[]
artificial_language_g0_6,[1],"[2, 4, 15]",[],"[[[2, 4], 2], [[4, 15], 4], [[15, 100], 15]]","[[[2, 4], 1], [[4, 15], 4], [[15, 100], 15]]","[[[2, 4], 2]]",[],[]
artificial_language_g0_7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 34, 58, 64]","[21, 78]","[[[15, 34], 15], [[34, 58], 34], [[58, 64], 58], [[64, 100], 64]]","[[[15, 34], 15], [[34, 58], 34], [[58, 64], 58], [[64, 100], 64]]",[],[],[]
artificial_language_g0_8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 40, 76, 77, 93]",[],"[[[18, 40], 18], [[40, 76], 40], [[76, 77], 76], [[77, 93], 77], [[93, 100], 93]]","[[[18, 40], 18], [[40, 76], 40], [[76, 77], 76], [[77, 93], 77], [[93, 100], 93]]",[],[],"[[18, [18, 40], '(1 * 18)'], [40, [40, 76], '(1 * 40)'], [76, [76, 77], '(1 * 76)'], [77, [77, 93], '(1 * 77)'], [93, [93, 94], '(1 * 93)']]"
artificial_language_g0_9,"[1, 2, 3]","[4, 8, 11, 76, 87]","[14, 26, 40, 50, 98]","[[[4, 8], 4], [[8, 11], 8], [[11, 76], 11], [[76, 87], 76], [[87, 100], 87]]","[[[4, 8], 2], [[8, 11], 8], [[11, 76], 11], [[76, 87], 76], [[87, 100], 87]]","[[[4, 8], 3]]",[],[]
artificial_language_g0_10,"[1, 2, 3, 4, 5]","[6, 12, 19]",[72],"[[[6, 12], 6], [[12, 19], 12], [[19, 100], 19]]","[[[6, 12], 1], [[12, 19], 12], [[19, 100], 19]]","[[[6, 12], 6]]",[],[]
artificial_language_g0_11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[12, 70, 75]",[82],"[[[12, 70], 12], [[70, 75], 70], [[75, 100], 75]]","[[[12, 70], 12], [[70, 75], 70], [[75, 100], 75]]",[],[],[]
artificial_language_g0_12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[16, 17, 33, 68]","[46, 91]","[[[16, 17], 16], [[17, 33], 17], [[33, 68], 33], [[68, 100], 68]]","[[[16, 17], 16], [[17, 33], 17], [[33, 68], 33], [[68, 100], 68]]",[],[],[]
