language,digits,bases,monomorphemics,curr_bases,number_addition_max,number_subtraction_max,phrase_subtraction,exceptions
artificial_language_g0_0,"[1, 2, 3, 4, 5, 6]","[7, 60]",[48],"[[[7, 60], 7], [[60, 100], 60]]","[[[7, 60], 7], [[60, 100], 60]]",[],[],"[[7, [7, 60], '(1 * 7)'], [60, [60, 61], '(1 * 60)']]"
artificial_language_g0_1,"[1, 2]","[3, 5, 26, 36, 90]","[11, 55]","[[[3, 5], 3], [[5, 26], 5], [[26, 36], 26], [[36, 90], 36], [[90, 100], 90]]","[[[3, 5], 3], [[5, 26], 5], [[26, 36], 26], [[36, 90], 36], [[90, 100], 90]]",[],[],[]
artificial_language_g0_2,"[1, 2]","[3, 25, 80, 87]",[47],"[[[3, 25], 3], [[25, 80], 25], [[80, 87], 80], [[87, 100], 87]]","[[[3, 25], 3], [[25, 80], 25], [[80, 87], 80], [[87, 100], 87]]",[],[],[]
artificial_language_g0_3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[16, 18, 29, 31]","[53, 55, 69, 77]","[[[16, 18], 16], [[18, 29], 18], [[29, 31], 29], [[31, 100], 31]]","[[[16, 18], 16], [[18, 29], 18], [[29, 31], 29], [[31, 100], 31]]",[],[],[]
artificial_language_g0_4,"[1, 2, 3, 4, 5, 6, 7, 8]","[9, 64]","[21, 51, 95]","[[[9, 64], 9], [[64, 100], 64]]","[[[9, 64], 9], [[64, 100], 64]]",[],[],[]
artificial_language_g0_5,"[1, 2, 3, 4]","[5, 10, 26, 80, 86]","[29, 41, 58, 79, 90]","[[[5, 10], 5], [[10, 26], 10], [[26, 80], 26], [[80, 86], 80], [[86, 100], 86]]","[[[5, 10], 3], [[10, 26], 10], [[26, 80], 26], [[80, 86], 80], [[86, 100], 86]]","[[[5, 10], 3]]",[],"[[5, [5, 10], '(1 * 5)'], [10, [10, 26], '(1 * 10)'], [26, [26, 80], '(1 * 26)'], [80, [80, 86], '(1 * 80)'], [86, [86, 87], '(1 * 86)']]"
artificial_language_g0_6,"[1, 2, 3, 4, 5, 6, 7, 8]","[9, 18, 36]","[43, 56, 63, 77]","[[[9, 18], 9], [[18, 36], 18], [[36, 100], 36]]","[[[9, 18], 9], [[18, 36], 18], [[36, 100], 36]]",[],[],[]
artificial_language_g0_7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 22]","[20, 26, 27, 90]","[[[11, 22], 11], [[22, 100], 22]]","[[[11, 22], 9], [[22, 100], 22]]","[[[11, 22], 3]]",[],[]
artificial_language_g0_8,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 44, 61, 68]",[],"[[[18, 44], 18], [[44, 61], 44], [[61, 68], 61], [[68, 100], 68]]","[[[18, 44], 18], [[44, 61], 44], [[61, 68], 61], [[68, 100], 68]]",[],[],[]
artificial_language_g0_9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[19, 38, 69, 77]","[21, 27, 71, 99]","[[[19, 38], 19], [[38, 69], 38], [[69, 77], 69], [[77, 100], 77]]","[[[19, 38], 11], [[38, 69], 38], [[69, 77], 69], [[77, 100], 77]]","[[[19, 38], 9]]",[],[]
artificial_language_g0_10,"[1, 2, 3, 4, 5]","[6, 12, 16, 33, 36]",[20],"[[[6, 12], 6], [[12, 16], 12], [[16, 33], 16], [[33, 36], 33], [[36, 100], 36]]","[[[6, 12], 1], [[12, 16], 12], [[16, 33], 16], [[33, 36], 33], [[36, 100], 36]]","[[[6, 12], 6]]",[],[]
artificial_language_g0_11,"[1, 2, 3, 4, 5, 6]","[7, 71]","[18, 63, 95, 96]","[[[7, 71], 7], [[71, 100], 71]]","[[[7, 71], 7], [[71, 100], 71]]",[],[],"[[7, [7, 71], '(1 * 7)'], [71, [71, 72], '(1 * 71)']]"
artificial_language_g0_12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[15, 92]",[],"[[[15, 92], 15], [[92, 100], 92]]","[[[15, 92], 15], [[92, 100], 92]]",[],[],[]
artificial_language_g0_13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",[13],"[41, 63]","[[[13, 100], 13]]","[[[13, 100], 13]]",[],[],[]
artificial_language_g0_14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 36, 49, 50, 93]",[],"[[[18, 36], 18], [[36, 49], 36], [[49, 50], 49], [[50, 93], 50], [[93, 100], 93]]","[[[18, 36], 16], [[36, 49], 36], [[49, 50], 49], [[50, 93], 50], [[93, 100], 93]]","[[[18, 36], 3]]",[],[]
artificial_language_g0_15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",[18],[],"[[[18, 100], 18]]","[[[18, 100], 18]]",[],[],[]
artificial_language_g0_16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[20, 65, 83, 86]",[54],"[[[20, 65], 20], [[65, 83], 65], [[83, 86], 83], [[86, 100], 86]]","[[[20, 65], 20], [[65, 83], 65], [[83, 86], 83], [[86, 100], 86]]",[],[],[]
artificial_language_g0_17,"[1, 2, 3]","[4, 13, 44, 46]","[24, 25, 30, 53]","[[[4, 13], 4], [[13, 44], 13], [[44, 46], 44], [[46, 100], 46]]","[[[4, 13], 4], [[13, 44], 13], [[44, 46], 44], [[46, 100], 46]]",[],[],"[[4, [4, 13], '(1 * 4)'], [13, [13, 44], '(1 * 13)'], [44, [44, 46], '(1 * 44)'], [46, [46, 47], '(1 * 46)']]"
artificial_language_g0_18,"[1, 2, 3, 4, 5]","[6, 96]",[],"[[[6, 96], 6], [[96, 100], 96]]","[[[6, 96], 6], [[96, 100], 96]]",[],[],[]
artificial_language_g0_19,"[1, 2, 3, 4]","[5, 38, 63, 71]",[52],"[[[5, 38], 5], [[38, 63], 38], [[63, 71], 63], [[71, 100], 71]]","[[[5, 38], 5], [[38, 63], 38], [[63, 71], 63], [[71, 100], 71]]",[],[],"[[5, [5, 38], '(1 * 5)'], [38, [38, 63], '(1 * 38)'], [63, [63, 71], '(1 * 63)'], [71, [71, 72], '(1 * 71)']]"
artificial_language_g0_20,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 79, 95, 98]","[35, 50, 73, 94]","[[[11, 79], 11], [[79, 95], 79], [[95, 98], 95], [[98, 100], 98]]","[[[11, 79], 11], [[79, 95], 79], [[95, 98], 95], [[98, 100], 98]]",[],[],[]
artificial_language_g0_21,"[1, 2, 3, 4, 5, 6]","[7, 14, 92]","[71, 97]","[[[7, 14], 7], [[14, 92], 14], [[92, 100], 92]]","[[[7, 14], 2], [[14, 92], 14], [[92, 100], 92]]","[[[7, 14], 6]]",[],[]
