language,digits,bases,monomorphemics,curr_bases,number_addition_max,number_subtraction_max,phrase_subtraction,exceptions
artificial_language_g0_71,"[1, 2, 3, 4, 5, 6]","[7, 54, 95]",[],"[[[7, 54], 7], [[54, 95], 54], [[95, 100], 95]]","[[[7, 54], 7], [[54, 95], 54], [[95, 100], 95]]",[],[],[]
artificial_language_g1_44,[1],[2],[],"[[[2, 100], 2]]","[[[2, 100], 2]]",[],[],[]
artificial_language_g0_209_m6,"[1, 2, 3]","[4, 8]",[],"[[[4, 8], 4], [[8, 100], 8]]","[[[4, 8], 1], [[8, 100], 8]]","[[[4, 8], 4]]",[],[]
artificial_language_g0_209_m6_m9,"[1, 2]","[3, 6]",[],"[[[3, 6], 3], [[6, 100], 6]]","[[[3, 6], 1], [[6, 100], 6]]","[[[3, 6], 3]]",[],[]
artificial_language_g9_14_m23,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[19, 38, 55, 63, 83]","[39, 53, 87]","[[[19, 38], 19], [[38, 55], 38], [[55, 63], 55], [[63, 83], 63], [[83, 100], 83]]","[[[19, 38], 3], [[38, 55], 38], [[55, 63], 55], [[63, 83], 63], [[83, 100], 83]]","[[[19, 38], 17]]",[],[]
artificial_language_g0_209_m6_m9_m33,[1],"[2, 4]",[],"[[[2, 4], 2], [[4, 100], 4]]","[[[2, 4], 1], [[4, 100], 4]]","[[[2, 4], 2]]",[],[]
artificial_language_g9_14_m23_m31_m36,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 36, 55, 66, 83]","[39, 53, 87]","[[[18, 36], 18], [[36, 55], 36], [[55, 66], 55], [[66, 83], 66], [[83, 100], 83]]","[[[18, 36], 3], [[36, 55], 36], [[55, 66], 55], [[66, 83], 66], [[83, 100], 83]]","[[[18, 36], 16]]",[],[]
artificial_language_g9_14_m23_m31_m36_m41,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 36, 55, 66, 83]","[39, 53]","[[[18, 36], 18], [[36, 55], 36], [[55, 66], 55], [[66, 83], 66], [[83, 100], 83]]","[[[18, 36], 3], [[36, 55], 36], [[55, 66], 55], [[66, 83], 66], [[83, 100], 83]]","[[[18, 36], 16]]",[],[]
artificial_language_g12_15_m28_m33_m43_m44_m45_m52,"[1, 2, 3, 4, 5, 6, 7]","[8, 49, 61, 74, 85]",[],"[[[8, 49], 8], [[49, 61], 49], [[61, 74], 61], [[74, 85], 74], [[85, 100], 85]]","[[[8, 49], 8], [[49, 61], 49], [[61, 74], 61], [[74, 85], 74], [[85, 100], 85]]",[],[],[]
artificial_language_g9_14_m23_m31_m36_m41_m45_m51_m53,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[17, 34, 55, 66, 83]",[],"[[[17, 34], 17], [[34, 55], 34], [[55, 66], 55], [[66, 83], 66], [[83, 100], 83]]","[[[17, 34], 3], [[34, 55], 34], [[55, 66], 55], [[66, 83], 66], [[83, 100], 83]]","[[[17, 34], 15]]",[],[]
artificial_language_g12_15_m28_m33_m43_m44_m45_m54,"[1, 2, 3, 4, 5, 6]","[7, 61, 74, 85]",[],"[[[7, 61], 7], [[61, 74], 61], [[74, 85], 74], [[85, 100], 85]]","[[[7, 61], 7], [[61, 74], 61], [[74, 85], 74], [[85, 100], 85]]",[],[],[]
artificial_language_g9_14_m23_m31_m36_m41_m45_m51_m53_m54,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 36, 55, 66, 83]",[],"[[[18, 36], 18], [[36, 55], 36], [[55, 66], 55], [[66, 83], 66], [[83, 100], 83]]","[[[18, 36], 4], [[36, 55], 36], [[55, 66], 55], [[66, 83], 66], [[83, 100], 83]]","[[[18, 36], 15]]",[],[]
artificial_language_g9_14_m23_m31_m36_m41_m45_m56,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[18, 36, 55, 66, 83]",[90],"[[[18, 36], 18], [[36, 55], 36], [[55, 66], 55], [[66, 83], 66], [[83, 100], 83]]","[[[18, 36], 3], [[36, 55], 36], [[55, 66], 55], [[66, 83], 66], [[83, 100], 83]]","[[[18, 36], 16]]",[],[]
artificial_language_g0_180_m1_m2_m3_m4_m7_m8_m9_m11_m15_m32_m36_m54_m59,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[11, 23, 47, 58, 76]",[],"[[[11, 23], 11], [[23, 47], 23], [[47, 58], 47], [[58, 76], 58], [[76, 100], 76]]","[[[11, 23], 11], [[23, 47], 23], [[47, 58], 47], [[58, 76], 58], [[76, 100], 76]]",[],[],[]
artificial_language_g12_15_m28_m33_m43_m44_m45_m52_m60,"[1, 2, 3, 4, 5, 6]","[7, 49, 61, 74, 85]",[],"[[[7, 49], 7], [[49, 61], 49], [[61, 74], 61], [[74, 85], 74], [[85, 100], 85]]","[[[7, 49], 7], [[49, 61], 49], [[61, 74], 61], [[74, 85], 74], [[85, 100], 85]]",[],[],[]
